rating,enrollment,grade_span,name,address
-,345,K-2,Alfred Vail School,"125 SPEEDWELL AVENUE, Morris Plains"
-,316,PK-8,Alice Costello School,"HAAKON RD, Brooklawn"
-,356,K-8,Allamuchy Twp School,"20 JOHNSONBURG ROAD, Allamuchy"
-,621,PK-6,Allen W. Roberts School,"80 JONES DR, New Providence"
64,"1,071",9-12,Allentown High School,"HIGH STREET, Allentown"
53,451,K-5,Awbrey Park Elementary School,"158 Spring Creek Dr, Eugene"
42,405,6-8,Azalea Middle School,"505 Pacific Ave, Brookings"
-,6,8-9,Bailey Hill Instructional Center School,"2295 Four Oaks Grange Rd, Eugene"
69,121,K-4,Baker Charter School,"999 Locust St NE, Salem"
-,23,8-12,Baker County Education Center School,"914 Front St, Haines"
61,658,9-12,Baker High School,"2500 E St, Baker City"
49,332,7-8,Baker Middle School,"2320 Washington Ave, Baker City"
63,493,6-8,Baker Prairie Middle School,"1859 SE Township Rd, Canby"
5,50,K-12,Ballston Community School,"9015 DeJong Rd, Amity"
52,275,9-12,Bandon Senior High School,"550 9th St SW, Bandon"
473,PK-5,,Bernita Hughes Elementary School,"2 SOUTH HARLEY HUGHES, Adair"
639,PK-6,,Berryhill Elementary South School,"3128 S. 63RD W. AVE., Tulsa"
321,10-12,,Berryhill High School,"2901 S 65 W AVE, Tulsa"
9,,,Cheyenne High School,"3200 W. Alexander Rd., North Las Vegas"
-,,,Child Haven ES,"601 N. Pecos #70, Las Vegas"
58,,,Churchill County High School,"1222 South Taylor Street, Fallon"
59,,,Churchill County Jr. High School,"650 South Maine Street, Fallon"
22,,,Cimarron-Memorial High School,"2301 N. Tenaya Way, Las Vegas"
25,,,Claire W. Woodbury Middle School,"3875 E. Harmon Ave., Paradise"
79,,,Clarence Piggott Elementary School,"9601 Red Hills Dr., Las Vegas"
9,,,Clark County Detention Center,"601 N. Pecos, Las Vegas"
31,,,Claude & Stella Parson Elementary School,"4100 Thom Blvd., Las Vegas"
15,,,Clifford Findlay Middle,"333 W. Tropical Pkwy., North Las Vegas"
69,,,Clifford J. Lawrence Junior High School,"4410 S. Juliano Rd., Spring Valley"
20,,,Clyde C. Cox Elementary School,"3855 Timberlake Dr., Nellis AFB"
34,299,7-8,A. Crosby Kennett Middle School,"176 Main St., Conway"
-,-,K-6,Abundant Living Christian Learning Center School,"PO Box 1442, Milton"
84,-,7-8,Academy For Science And Design Charter (M) School,"316 Daniel Webster Highway, Merrimack"
35,485,6-8,Bernalillo Mid High School,"485 CALLE DON TOMAS, Bernalillo"
88,417,K-5,Berrendo Elementary School,"505 W. PINE LODGE ROAD, Roswell"
73,588,6-8,Berrendo Middle School,"800 MARION RICHARDS RD., Roswell"
63,271,PK-6,Blanco Elementary School,"7213 US HWY 64, Blanco"
59,317,PK-K,Bloomfield Family Lc School,"310 LAJARA STREET, Bloomfield"
76,818,9-12,Bloomfield High School,"520 NORTH FIRST STREET, Bloomfield"
94,67,PK-6,Bluewater Elementary School,"PINON STREET, Bluewater"
54,482,K-5,Bluffview Elementary School,"1204 CAMINO REAL, Farmington"
38,346,PK-5,Booker T. Washington School,"755 E. CHESTNUT AVE, Las Cruces"
64,363,PK-4,Bosque Farms Elementary School,"1390 W. BOSQUE LOOP, Los Lunas"
86,329,K-6,Broadmoor Elementary School,"1500 NORTH HOUSTON, Hobbs"
82,312,PK-K,Brown Elementary School,"520 EAST FIFTH ST., Portales"
-,-,-,Abbott Union Free District School,"100 N BROADWAY, Irvington"
-,-,-,"Abilities First, Inc School","230 NORTH RD, Poughkeepsie"
-,467,PK-8,Abraham Joshua Heel School,"270 W 89TH ST, New York"
43,398,PK-4,Abraham Lincoln Elementary School,"301 FRONT ST, Jamestown"
-,"2,541",9-12,Abraham Lincoln High School,"2800 OCEAN PKY, Brooklyn"
56,193,K-6,Abraham Wing School,"120 LAWRENCE ST, Glens Falls"
27,398,K-5,Abram Lansing School,"26 JAMES ST, Cohoes"
-,50,PK-2,Abundant Life Academy School,"7000 ALL NATIONS BLVD, East Syracuse"
-,-,-,Abundant Life Academy School,"591 BROADWAY, Kingston"
-,148,K-1,Academic Leadership Charter School,"677 E 141ST ST, Bronx"
-,166,K-2,Academy Charter School,"94 FULTON AVE, Hempstead"
-,-,PK-6,A B Newell Elementary School,"2700 W 13th Street, Grand Island"
-,11,PK-8,Abie Public School,"101 Ash Box 184, Abie"
-,-,PK-6,Ackerman Elementary School,"5110 South 156th Street, Omaha"
-,369,PK-12,Acts @ William Penn School,"2915 North Third Street, Harrisburg"
-,141,PK-12,Ad Prima School,"3556 Frankford Avenue, Philadelphia"
-,474,PK-12,Adaire Alexander School,"1300 E Palmer St, Philadelphia"
-,432,PK-12,Adamstown Elementary School,"256 West Main Street, Adamstown"
-,471,PK-12,Admiral Peary Avts School,"948 Ben Franklin Highway, Ebensburg"
-,-,PK-12,Aeffer Elementary School,"2900 Walnut St, Camp Hill"
-,234,PK-12,Aeffer Elementary School,"1235 Clairhaven St, Pittsburgh"
-,380,PK-12,Aeffer School,"875 Pleasure Rd, Lancaster"
-,250,PK-12,Aefferstown Elementary School,"301 N Carpenter St, Schaefferstown"
-,294,PK-12,Aep/Transition School,"3325 Cherry Street, Erie"
-,599,PK-12,Afton Elementary School,"1673 Quarry Rd, Yardley"
48,772,PK-12,Agora Cyber School,"995 Old Eagle School Road, Wayne"
-,481,K-5,Allenwood School,"3301 ALLENWOOD-LAKEWOOD RD., Wall"
-,482,PK-8,Alloway Twp School,"CEDAR ST, Alloway"
-,278,K-8,Alpha School,"817 NORTH BOULEVARD, Alpha"
-,136,K-8,Alpine Elementary School,"500 HILLSIDE AVENUE, Alpine"
-,-,11,Alternative High School,"MALBERG BUILDING, Cherry Hill"
-,31,PK-12,Alternative School,"C/O PO BOX 2683, New Brunswick"
-,159,PK-K,Althea Gibson E C E Acd School,"290  WILLIAM STREET, East Orange"
-,519,K-4,Amsterdam School,"301 AMSTERDAM DRIVE, Belle Mead"
-,256,3-5,Andover Morris School,"712 SOUTH MAIN STREET, Phillipsburg"
-,360,K-5,Angelo Tomaso School,"46 WASHINGTON VALLEY RD, Warren"
-,"1,180",6-8,Ann A Mullen Middle School,"1400 SICKLERVILLE ROAD, Sicklerville"
61,575,K-6,Banks Elementary School,"42350 NW Trellis Way, Banks"
48,418,9-12,Banks High School,"450 S Main St, Banks"
68,213,7-8,Banks Junior High School,"450 S Main St, Banks"
43,621,K-5,Barnes Elementary School,"13730 SW Walker Rd, Beaverton"
25,426,P-8,Beach Elementary School,"1710 N Humboldt St, Portland"
65,576,K-5,Bear Creek Elementary School,"51 SE 13th St, Bend"
30,,,Cold Springs Middle Schools,"18235 Cody Court, Cold Springs"
80,,,College of Southern Nevada High School East,"3200 E. Cheyenne Ave., Las Vegas"
89,,,College of Southern Nevada High School South,"700 College Dr., Henderson"
93,,,College of Southern Nevada High School West,"6375 W. Charleston Blvd., Las Vegas"
62,,,Coral Academy Charter School,"1350 E. Ninth Street, Reno"
83,,,Coral Academy of Science Las Vegas,"1051 Sandy Ridge Avenue, Enterprise"
89,,,Coronado High School,"1001 Coronado Center Dr., Enterprise"
51,,,Cottonwood Elementary School,"925 Farm District Road, Fernley"
15,,,Cowan Behavior Junior/Senior High School,"5300 E. Russell Rd., Henderson"
-,33,9-11,Academy Of Learning And Technology (High) School,"Boys & Girls Club, Nashua"
-,75,6-8,Academy Of Learning And Technology School,"Boys & Girls Club, Nashua"
36,39,K-4,Acworth Elementary School,"Turkey Shoot Rd., Acworth"
75,425,3-5,Adeline C. Marston School,"4 Marston Way, Hampton"
-,13,-,Alexandria Village School,"c/o Danbury Elementary School, Danbury"
15,233,K-4,Allenstown Elementary School,"30 S. Main St., Allenstown"
8,117,K-5,Alstead Primary School,"58 Mechanic St., Alstead"
41,613,P K-8,Alton Central (Elem) School,"41 School St., Alton"
46,"1,554",9-12,Alvirne High School,"200 Derry Rd., Hudson"
91,833,5-8,Amherst Middle School,"Cross Rd., Amherst"
48,281,K-5,Amherst Street School,"71 Amherst St., Nashua"
54,251,K-8,Andover Elementary School,"20 School St., Andover"
94,264,K-5,Buena Vista Elementary School,"2600 19TH STREET, Alamogordo"
26,634,K-5,Caesar Chavez Elementary School,"6251 JAGUAR DRIVE, Santa Fe"
17,368,PK-6,Cameo Elementary School,"1600 CAMEO, Clovis"
38,"1,107",6-8,Camino Real Middle School,"2961 ROADRUNNER PKWY, Las Cruces"
19,"1,082",9-12,Capital High School,"4851 PASEO DEL SOL, Santa Fe"
97,250,PK-5,Capitan Elementary School,"150 FORREST STREET, Capitan"
66,194,9-12,Capitan High School,"150 FORREST STREET, Capitan"
36,126,6-8,Capitan Middle School,"150 FORREST STREET, Capitan"
41,472,7-8,Capshaw Junior High School,"351 ZIA ROAD, Santa Fe"
64,265,K-6,Carlos Gilbert Elementary School,"300 GRIFFIN STREET, Santa Fe"
-,-,7-8,A L Hagen Junior High School,"402 4TH ST W, Dickinson"
-,75,PK-6,Adams Elementary School,"701 PARK ST, Adams"
-,219,9-10,Academy For Careers In Television And Film School,"36-41 28TH ST, Long Island City"
21,599,6-12,Academy For College Prep & Career Exploration School,"911 FLATBUSH AVE, Brooklyn"
-,130,9-10,Academy For Conservation And The Environment School,"6565 FLATLANDS AVE, Brooklyn"
-,373,9-12,Academy For Environmental Leadership School,"400 IRVING AVE, Brooklyn"
-,-,-,Academy For Health Careers School,"355 PARK PL, Brooklyn"
-,302,9-11,Academy For Language And Technology School,"1700 MACOMBS RD, Bronx"
10,623,6-12,Academy For Larship And Entreneurship School,"921 E 228TH ST, Bronx"
6,163,6-8,Academy For New Americans School,"30-14 30TH ST, Astoria"
84,467,7-12,Adams Central Junior-Senior High School,"1090 South Adams Road Box 1088, Hastings"
-,-,-,Adams County Pre Center Base School,"123 Marian Road, Hastings"
-,71,PK-6,Adams County School,"1970 E 12th Street, Hastings"
48,293,PK-6,Adams Elementary School,"3420 N 78th Street, Omaha"
-,-,6-8,Adams Middle School,"1200 South McDonald Road, North Platte"
45,150,PK-6,Ainsworth Elementary School,"520 E 2nd Street P. O. Box 65, Ainsworth"
-,-,9-12,Ainsworth High School,"520 E 2nd Street P. O. Box 65, Ainsworth"
47,163,5-8,Ainsworth Middle School,"520 E 2nd Street P. O. Box 65, Ainsworth"
-,-,PK-6,Alcott Elementary School,"313 N Cedar, Hastings"
-,39,PK-6,Alda Public School,"206 W 3rd Street P. O. Box 146, Alda"
-,-,PK-6,Aldrich Elementary School,"506 N 162 Avenue, Omaha"
-,364,PK-12,Akron Elementary School,"125 S 11th St, Akron"
-,96,PK-12,Albany Elementary School,"3656 Route 737, Kempton"
36,"1,284",PK-12,Albert Gallatin Area Shs School,"1119 Twp Dr, Uniontown"
-,502,PK-12,Albert Gallatin North Ms School,"113 College Avenue, Mcclellandtown"
-,434,PK-12,Albert Gallatin South Ms School,"224 New Geneva Road, Point Marion"
-,503,PK-12,Alburtis Elementary School,"222 West Third Street, Alburtis"
-,641,PK-12,Alcorn James School,"3200 Dickinson St, Philadelphia"
-,-,PK-12,Aldan Magnet School,"1 North Woodlawn Ave, Aldan"
-,462,PK-12,Alice Afer Elementary School,"220 W School Dr, Linesville"
-,531,PK-12,Aliquippa Elementary School,"800 21st St, Aliquippa"
-,368,PK-12,Aliquippa Ms School,"100 Harding Ave, Aliquippa"
-,392,K-4,Ann Blanche Smith School,"HILLSDALE AVE, Hillsdale"
-,"1,216",PK-8,Ann St School,"30 ANN ST, Newark"
-,669,PK-5,Anna C Scott School,"100 HIGHLAND STREET, Leonia"
-,937,PK-8,Anna L Klein School,"301-69TH ST, Guttenberg"
-,227,PK-5,Anthony J Infante No 31 School,"3055 KENNEDY BLVD, Jersey City"
-,491,6-8,Anthony Rossi Inter. School,"2572 PALERMO AVE, Vineland"
-,600,K-4,Anthony V Ceres School,"445 STATE STREET, Perth Amboy"
-,731,6-8,Anthony Wayne Middle School,"201 GARSIDE AVE, Wayne"
-,669,7-8,Applegarth School,"227 APPLEGARTH ROAD, Monroe Township"
-,328,K-6,Apshawa School,"140 HIGH CREST DRIVE, West Milford"
-,492,4-5,Arbor School,"1717 LESTER PLACE, Piscataway"
-,-,1-12,Anna Philbrook Center School,"NH Hospital, Concord"
63,162,P K-4,Antrim Elementary School,"10 School St., Antrim"
-,-,5-12,Antrim Girls Shelter School,"55 Main St, Antrim"
72,115,3-4,Appleton Elementary School,"72 Academy Rd., New Ipswich"
13,239,5-8,Armand R. Dupont School,"10 1/2 School St., Allenstown"
66,161,K-8,Ashland Elementary School,"16 Education Dr., Ashland"
85,452,K-5,Atkinson Academy School,"17 Academy Ave., Atkinson"
74,600,1-8,Auburn Village School,"11 Eaton Rd., Auburn"
11,311,K-5,Bakersville School,"20 Elm St., Manchester"
27,552,P K-8,Barnstead Elementary School,"91 Maple St., Ctr. Barnstead"
59,543,P K-4,Barrington Elementary School,"347 State Rte. 125, Barrington"
24,905,PK-5,Carlos Rey Elementary School,"1215 CERRILLOS ROAD SW, Albuquerque"
65,"1,707",9-12,Carlsbad High School,"3000 WEST CHURCH STREET, Carlsbad"
95,65,PK-4,Carrizozo Elementary School,"800 D. AVENUE, Carrizozo"
55,73,9-12,Carrizozo High School,"800 D. AVENUE, Carrizozo"
24,66,5-8,Carrizozo Middle School,"800 D. AVENUE, Carrizozo"
25,142,6-8,Caton Middle School,"1106 16TH STREET, Eunice"
34,277,4-6,Central Elementary School,"600 PICARD AVENUE, Belen"
19,103,5-6,Central Elementary School,"207 HIGH STREET, Lordsburg"
84,136,1-5,Central Elementary School,"405 SOUTH SIXTH, Artesia"
66,235,PK-5,Central Elementary School,"150 N. ALAMEDA BLVD, Las Cruces"
62,652,1-3,Central Primary School,"310 W. SYCAMORE, Bloomfield"
50,6-8,,A G Cox Middle,"2657 Church Street, Winterville"
9,KG-5,,A H Snipes Academy of Arts/Des,"2150 Chestnut Street, Kings Grant"
59,9-12,,A L Brown High,"415 E 1st Street, Concord"
-,-,-,Adolescent/Child Treatment Center School,"120 2ND ST SE, Jamestown"
53,576,6-7,Agassiz Middle School,"1305 9TH AVE S, Fargo"
-,24,PK-6,Alexander Elementary School,"601 DELANEY ST, Alexander"
-,22,7-12,Alexander High School,"601 DELANEY ST, Alexander"
-,20,K-8,Almont Elementary School,"205 FANNIE ST, Almont"
-,4,K-8,Amidon Elementary School,"106 COURT AVE, Amidon"
54,39,PK-6,Anamoose Elementary School,"706 3RD ST W, Anamoose"
-,57,7-12,Anamoose High School,"706 3RD ST W, Anamoose"
-,51,K-6,Apple Creek Elementary School,"2000 93RD ST SE, Bismarck"
-,70,PK-6,Ashley Elementary School,"703 W MAIN ST, Ashley"
-,83,7-12,Ashley High School,"703 W MAIN ST, Ashley"
83,478,7-8,Alice Buffett Middle School,"14101 Larimore Street, Omaha"
-,-,PK-6,Allen Elementary School,"126 E 5th Box 190, Allen"
12,108,7-12,Allen High School,"126 E 5th Box 190, Allen"
-,-,-,Alliance Early Child Education Program School,"212 E 24th, Alliance"
35,591,9-12,Alliance High School,"100 W 14th Street, Alliance"
-,-,5-8,Alliance Middle School,"1100 Laramie Avenue, Alliance"
-,152,PK-6,Alma Elementary At Alma School,"515 N Jewel P. O. Box 170, Alma"
-,162,7-12,Alma High School,"515 N Jewel P. O. Box 170, Alma"
-,29,PK-8,Alpha Public School,"60 Alpha Road, Chadron"
-,21,7-8,Alternative Middle School,"1600 N Custer Avenue, Grand Island"
-,33,9-12,Alternatives For Success School,"1122 South 13th Street Box 139, Norfolk"
49,118,PK-6,Amherst Elementary School,"100 N Sycamore Box 8, Amherst"
4,386,PK-12,Aliquippa Shs School,"100 Harding Ave, Aliquippa"
-,234,PK-12,Allard Elementary School,"170 Shafer Rd, Moon Township"
81,"1,678",PK-12,Allderdice High School,"2409 Shady Ave, Pittsburgh"
-,203,PK-12,Allegheny Elementary #1 School,"1160 Municipal Dr, Duncansville"
-,-,-,Allegheny School,"12th & Allegheny, Philadelphia"
-,409,PK-12,Allegheny Trad Elementary Academy School,"810 Arch Street, Pittsburgh"
-,315,PK-12,Allegheny Trad Mid Academy School,"810 Arch Street, Pittsburgh"
-,140,PK-12,Allegheny Valley Elementary School,"100 North Main St, Clarendon"
-,428,PK-12,Allegheny-Clarion Valley Elementary School,"776 Route 58, Foxburg"
56,490,PK-12,Allegheny-Clarion Valley High School,"762 Route 58, Foxburg"
-,647,PK-12,Allegheny-Hyde Park Elementary School,"1048 School Road, Leechburg"
-,341,K-5,Ardena School,"355 ADELPHIA ROAD, Farmingdale"
-,511,K-3,Arleth School,"3198 WASHINGTON ROAD, Parlin"
63,844,9-12,Arthur L. Johnson High School,"365 WESTFIELD AVENUE, Clark"
-,641,K-5,Arthur M. Judd School,"1601 ROOSEVELT AVENUE, North Brunswick"
47,645,9-12,Arthur P Alick High School,"718-A CENTERTON ROAD, Pittsgrove"
-,638,1-6,Arthur Rann Elementary School,"EIGHTH AVE, Galloway"
-,377,3-5,Arthur Stanlick School,"155 E. SHAWNEE TRAIL, Lake Shawnee"
7,672,9-12,Arts School,"556 M. L. KING BLVD., Newark"
-,510,9-12,Asbury Park High School,"1003 SUNSET AVENUE, Asbury Park"
-,534,6-8,Asbury Park Middle School,"1200 BANGS AVENUE, Asbury Park"
-,396,2-3,Ashbrook Elementary School,"33 MUNICIPAL DRIVE, Lumberton"
34,414,5-8,Barrington Middle School,"20 Haley Dr., Barrington"
43,200,1-4,Bartlett Elementary School,"689 Mast Rd., Manchester"
15,200,1-3,Bartlett Elementary School,"56 Mt. Forist St., Berlin"
83,58,K-6,Bath Village School,"61 Lisbon Rd., Bath"
54,402,K-5,Beaver Meadow School,"40 Sewalls Fall Rd., Concord"
-,-,-,Becket - East Haverhill Academy School,"PO Box 101, Haverhill"
-,-,7-12,Becket - Life Centered Learning Institute School,"141 Sanborn Rd., Tilton"
-,-,-,Becket - Mount Prospect Academy School,"350 Main St., Plymouth"
-,-,9-12,Bedford High School,"47B Nashua Rd., Bedford"
2,569,K-5,Beech Street School,"333 Beech St., Manchester"
78,440,PK-4,Belmont Elementary School,"89 Gilmanton Rd., Belmont"
69,103,9-12,Absarokee High School,"327 South Woodard Avenue, Absarokee"
86,160,PK-6,Absarokee School,"327 South Woodard Avenue, Absarokee"
51,31,7-8,Alberton 7-8 School,"306 Railroad Avenue, Alberton"
-,82,PK-6,Alberton School,"306 Railroad Avenue, Alberton"
3,56,9-12,Century Alternative School,"1000 MAIN STREET, Los Lunas"
58,604,PK-2,Cesar E. Chavez Elementary School,"5250 N. HOLMAN ROAD, Las Cruces"
71,94,PK-5,Chama Elementary School,"182 N. PINE AVENUE, Chama"
51,48,6-8,Chama Middle School,"182 N. PINE AVENUE, Chama"
98,264,K-6,Chamisa Elementary School,"301 MEADOW LANE, White Rock"
95,662,K-5,Chamiza Elementary School,"5401 HOMESTEAD CIRCLE NW, Albuquerque"
69,6-8,,A L Stanback Middle,"3700 NC 86 South, Hillsborough"
69,KG-5,,A T Allen Elementary,"3939 Abilene Rd, Concord"
21,3-5,,Aberdeen Elementary,"503 Sandhills Blvd N, Aberdeen"
-,PK-2,,Aberdeen Primary,"310 Keyser St, Aberdeen"
40,PK-5,,Acme Delco Elementary,"16337 Old Lake Road, East Arcadia"
22,6-8,,Acme Delco Middle,"26133 Andrew Jackson Hwy, Delco"
92,KG-5,,Adams Elementary,"805 Cary Towne Blvd, Apex"
23,4-6,,Ahoskie Elementary,"200 N Talmage St, Ahoskie"
57,PK-5,,Alamance Elementary,"3600 Williams Dairy Road, Forest Oaks"
26,9-12,,Alamance-Burlington Middle College,"1247 Jimmie Kerr Road, Burlington"
33,9-12,,Albemarle High,"311 Park Ridge Road, Albemarle"
-,5,K-7,Bakker Elementary School,"880 96TH ST SE, Hague"
-,17,K-8,Baldwin Elementary School,"20100 SOO AVE, Baldwin"
-,188,7-12,Beach High School,"600 N CENTRAL AVE, Beach"
-,-,PK-K,Becep Center School,"720 N 14TH ST, Bismarck"
70,262,K-5,Belair Elementary School,"501 25TH ST NW, Minot"
67,90,PK-6,Belfield Elementary School,"302 NE 3RD, Belfield"
-,124,7-12,Belfield High School,"302 NE 3RD, Belfield"
74,147,PK-8,Bell Elementary School,"5901 HWY 52 S, Minot"
-,323,PK-5,Ben Franklin Elementary School,"1016 S 20TH ST, Grand Forks"
-,915,7-9,Ben Franklin Middle High School,"1420 8TH ST N, Fargo"
71,568,PK-5,Bennett Elementary School,"2000 S 58TH AVE, Fargo"
74,137,PK-6,Berthold Elementary School,"401 4TH AVE NE, Berthold"
50,155,7-12,Amherst High School,"100 N Sycamore Box 8, Amherst"
82,206,PK-6,Anderson Grove Elementary School,"11820 South 37th Street, Bellevue"
-,9,PK-8,Angora Public School,"Box 1526, Angora"
47,93,PK-6,Ansley Elementary School,"1124 Cameron Street Box 370, Ansley"
60,115,7-12,Ansley High School,"1124 Cameron Street Box 370, Ansley"
-,5,PK-8,Antelope Public School,"650 Antelope Road, Hay Springs"
-,181,PK-6,Arapahoe Elementary School,"610 Walnut Box 360, Arapahoe"
62,148,7-12,Arapahoe High School,"610 Walnut Box 360, Arapahoe"
-,60,PK-6,Arcadia Elementary School,"320 W Owens Street Box 248, Arcadia"
-,52,7-12,Arcadia High School,"320 W Owens Street P. O. Box 248, Arcadia"
-,307,PK-6,Arlington Elementary School,"705 N 9th Box 580, Arlington"
-,404,PK-12,Allen Dr Ethel School,"3200 W Lehigh Ave, Philadelphia"
-,903,PK-12,Allen Ethan School,"6329 Battersby St, Philadelphia"
-,495,PK-12,Allen Ms School,"4225 Gettysburg Rd, Camp Hill"
-,305,PK-12,Alliance For Progress School,"1821-39 Cecil B Moore Avenue, Philadelphia"
-,582,PK-12,Allison Park Elementary School,"803 McGovern Rd, Houston"
-,342,PK-12,Alloway Creek Intrmd School,"162 Newark Street, Littlestown"
59,"1,921",PK-12,Altoona Area High School,"1415 6th Ave, Altoona"
-,-,PK-12,Altoona Area Junior High School,"1400 7th Ave, Altoona"
-,730,PK-12,Amanda E Stout Elementary School,"321 S 10th St, Reading"
44,960,PK-12,Ambridge Area High School,"909 Duss Avenue, Ambridge"
-,475,PK-12,Ambridge Area Junior School,"401 First Street, Freedom"
-,652,PK-12,Amity Intrmd Center School,"200 Boone Drive, Douglassville"
-,626,1-5,Asher Holmes School,"48 MENZEL LANE, Morganville"
-,206,K-1,Atco School,"2162 COOPER ROAD, Atco"
-,135,K-6,Atlantic Ave School,"ATLANTIC AVE & GREEN ST, Haddon Heights"
15,"2,568",9-12,Atlantic City High School,"1400 ALBANY AVENUE, Atlantic City"
-,-,-,Atlantic Co Elementarymiddle School,"4805 NAWAKWA BOULEVARD, Mays Landing"
-,-,-,Atlantic Co High School,"4805 NAWAKWA BOULEVARD, Mays Landing"
-,-,9-11,Atlantic Cty Inst Of Tech School,"5080 ATLANTIC AVENUE, Mays Landing"
-,293,PK-6,Atlantic Highlands School,"140 FIRST AVENUE, Atlantic Highlands"
-,206,1-2,Atlantis School,"SCHOOL ROAD, McGuire AFB"
-,322,3-5,Audrey W. Clark School,"192 GARFIELD AVENUE, Long Branch"
52,908,7-12,Audubon High School,"350 EDGEWOOD AVENUE, Audubon"
81,467,9-12,Belmont High School,"255 Seavey Rd., Belmont"
47,446,5-8,Belmont Middle School,"38 School St., Belmont"
16,282,7-8,Berlin Junior High School,"200 State St., Berlin"
7,568,9-12,Berlin Senior High School,"550 Willard St., Berlin"
88,482,K-5,Bernice A. Ray School,"22 Reservoir Rd., Hanover"
25,216,3-4,Bessie C. Rowell School,"20 Rowell Dr., Franklin"
-,-,K-12,Bethlehem Christian School,"PO Box 303, Bethlehem"
53,208,K-6,Bethlehem Elementary School,"2297 Main St., Bethlehem"
93,641,P K-5,Bicentennial Elementary School,"296 E. Dunstable Rd., Nashua"
83,461,K-5,Birch Hill Elementary School,"17 Birch Hill Dr., Nashua"
-,-,9-12,Bishop Brady High School,"25 Columbus Ave., Concord"
30,437,PK-6,Alkali Creek School,"681 Alkali Creek Road, Billings"
-,7,PK-8,Alzada School,"Circle Drive, Alzada"
64,78,K-6,Amsterdam School,"6360 Camp Creek Road, Manhattan"
39,479,9-12,Anaconda High School,"5th & Main, Anaconda"
75,50,7-8,Anderson 7-8 School,"10040 Cottonwood Road, Bozeman"
90,142,PK-6,Anderson School,"10040 Cottonwood Road, Bozeman"
40,73,7-8,Arlee 7-8 School,"123 Fyant Street, Arlee"
42,234,PK-6,Arlee Elementary School,"123 Fyant Street, Arlee"
16,128,9-12,Arlee High School,"123 Fyant Street, Arlee"
91,41,7-8,Arrowhead 7-8 School,"1489 East River Road, Pray"
61,408,PK-4,Asa Wood School,"700 Idaho Avenue, Libby"
-,17,7-8,Ashland 7-8 School,"Highway 212, Ashland"
48,6-8,,Albemarle Middle,"1811 Badin Road, Albemarle"
22,PK-5,,Albemarle Road Elementary,"7800 Riding Trail Rd, Charlotte"
37,6-8,,Albemarle Road Middle,"6900 Democracy Dr, Charlotte"
75,KG-5,,Albert H Bangert Elementary,"3712 Canterbury Road, Brices Creek"
-,6-8,,Albritton Middle,"Normandy Dr Bldg 4-3331, Fayetteville"
52,PK-5,,Alderman Elementary,"4211 Chateau Drive, Greensboro"
56,PK-5,,Alderman Road Elementary,"2860 Alderman Road, Fayetteville"
55,9-12,,Alexander Central High,"223 School Drive, Bethlehem"
80,6-8,,Alexander Graham Middle,"1800 Runnymede Ln, Charlotte"
-,-,,Alexander Juvenile Detention Center,"928 NC HWY 16 South, Bethlehem"
64,KG-5,,Alexander Wilson Elementary,"2518 NC 54, Burlington"
-,-,K-6,Berthold Elementary School,"401 4TH ST NE, Berthold"
-,-,7-12,Berthold High School,"401 4TH ST NE, Berthold"
64,105,7-12,Berthold High School,"401 4TH AVE NE, Berthold"
-,224,PK-4,Beulah Elementary School,"200 7TH ST NW, Beulah"
-,306,9-12,Beulah High School,"204 5TH ST NW, Beulah"
-,231,5-8,Beulah Middle School,"1700 CENTRAL AVE N, Beulah"
-,28,PK-6,Bisbee-Egeland Elementary School,"204 3RD AVE W, Bisbee"
-,41,7-12,Bisbee-Egeland High School,"204 3RD AVE W, Bisbee"
-,"1,442",10-12,Bismarck High School,"800 N 8TH ST, Bismarck"
-,-,-,Bismarck Spec Education Unit School,"806 N WASHINGTON ST, Bismarck"
-,-,-,Bismarck Tech Center School,"1200 W COLLEGE DR, Bismarck"
-,161,PK-6,Bob Callies Elementary School,"205 2ND AVE, Garrison"
7,KG-6,,A W JAMES ELEMENTARY SCHOOL,"400 SOUTH BLVD, Drew"
19,PK-2,,ABERDEEN ELEMENTARY SCHOOL,"508 W. Commerce St, Aberdeen"
43,9-12,,ABERDEEN HIGH SCHOOL,"205 Hwy 145 North, Aberdeen"
86,299,7-12,Arlington High School,"705 N 9th Box 580, Arlington"
-,-,PK-6,Arnold Elementary School,"405 N Haskell Box 399, Arnold"
21,595,PK-6,Arnold Elementary School,"5300 W Knight Drive, Lincoln"
64,102,7-12,Arnold High School,"405 N Haskell Box 399, Arnold"
-,43,7-12,Arthur County High School,"100 Marshall Avenue Box 145, Arthur"
-,18,PK-6,Arthur Elementary - Lower School,"212 Collins, Arthur"
-,21,PK-6,Arthur Elementary - Middle/Upper School,"301 Cedar, Arthur"
-,22,PK-6,Ashby Public School,"203 W Hill Box 127, Ashby"
50,16,PK-6,Ashland Park/Robbins School,"5050 South 51st Street, Omaha"
30,444,PK-6,Ashland-Greenwood Elementary School,"1200 Boyd Street, Ashland"
63,251,9-12,Ashland-Greenwood High School,"1200 Boyd Street, Ashland"
-,492,PK-12,Amity Primary Center School,"2144 Weavertown Rd, Douglassville"
-,636,PK-12,Amos K Hutchinson Elementary School,"810 Welty St, Greensburg"
-,500,PK-12,Amosland Elementary School,"549 Amosland Rd, Morton"
